Symbol,CE_Contracts,CE_Volume,CE_OI,CE_OI_Change,CE_Turnover,PE_Contracts,PE_Volume,PE_OI,PE_OI_Change,PE_Turnover,PCR_OI,PCR_Volume,Date
360ONE,47,1104,1143000,111500,634459500.0,48,249,387000,-14000,134319425.0,0.339,0.226,2026-06-09
ABB,102,6119,1186875,79750,5713545487.5,114,4306,629500,31375,3363953668.75,0.53,0.704,2026-06-09
ABCAPITAL,58,2689,12059000,155000,3105218075.0,56,1439,8385500,-204600,1527447035.0,0.695,0.535,2026-06-09
ADANIENSOL,69,5317,6560325,226800,6048654108.75,69,2091,3028050,-60750,2108766993.75,0.462,0.393,2026-06-09
ADANIENT,101,21799,7909782,466590,21127890079.2,112,10110,5659644,167787,9055361662.95,0.716,0.464,2026-06-09
ADANIGREEN,106,19496,7603200,-67800,18882967980.0,117,12741,5400000,85200,10463066760.0,0.71,0.654,2026-06-09
ADANIPORTS,60,16831,6712700,202825,15147193680.0,61,9912,3781950,117325,8054413595.0,0.563,0.589,2026-06-09
ADANIPOWER,76,7913,45475500,1309950,7019493206.5,72,3092,27626100,1721750,2495535299.5,0.607,0.391,2026-06-09
ALKEM,103,4477,712875,8125,3226921537.5,103,1367,416375,-2000,896643750.0,0.584,0.305,2026-06-09
AMBER,61,258,1762600,-9800,210698145.0,58,61,1212600,-3600,44837695.0,0.688,0.236,2026-06-09
AMBUJACEM,77,10211,18703800,1042350,4770805867.5,77,1435,10445400,78900,626577075.0,0.558,0.141,2026-06-09
ANGELONE,58,6491,19700000,-577500,5842762250.0,59,2401,12925000,112500,1972925750.0,0.656,0.37,2026-06-09
APLAPOLLO,84,1433,1123500,43050,975252600.0,84,2992,944300,14350,1699925815.0,0.84,2.088,2026-06-09
APOLLOHOSP,105,24496,1321750,49500,26834553025.0,108,10989,1158875,230750,11481188937.5,0.877,0.449,2026-06-09
ASHOKLEY,76,22710,182810000,10305000,17921842300.0,76,5795,89445000,3020000,4140925550.0,0.489,0.255,2026-06-09
ASIANPAINT,83,24722,6396000,370250,17316919587.5,90,12060,3302500,154500,7837307350.0,0.516,0.488,2026-06-09
ASTRAL,66,3539,2184500,134725,2494800596.25,67,1324,1406325,79900,853136202.5,0.644,0.374,2026-06-09
AUBANK,74,4705,4923000,-147000,4802947800.0,73,1776,3618000,-5000,1719580750.0,0.735,0.377,2026-06-09
AUROPHARMA,54,4015,3843400,180950,3379033707.5,52,3291,2266000,67100,2479826827.5,0.59,0.82,2026-06-09
AXISBANK,95,42455,18285000,483125,35361986156.25,94,23744,10285000,673125,18834196250.0,0.562,0.559,2026-06-09
BAJAJ-AUTO,81,10349,1643475,17175,8292047017.5,82,4395,942900,75,3295890296.25,0.574,0.425,2026-06-09
BAJAJFINSV,79,19136,6793250,306300,8592013942.5,79,9537,3182450,38800,3948346697.5,0.468,0.498,2026-06-09
BAJAJHLDNG,83,12738,90900,-1100,7302924325.0,83,1305,62150,14675,663710586.25,0.684,0.102,2026-06-09
BAJFINANCE,75,22279,21204750,-857250,15468363225.0,75,8662,14894250,-25500,5683634700.0,0.702,0.389,2026-06-09
BANDHANBNK,60,11151,31708800,1771200,8837705412.0,56,2843,16484400,806400,2107969704.0,0.52,0.255,2026-06-09
BANKBARODA,170,28826,55440450,2337075,23869026236.25,169,13965,37024650,4375800,10927065678.75,0.668,0.484,2026-06-09
BANKINDIA,99,10863,28922400,5168800,8637708040.0,100,4017,20893600,2132000,2923426844.0,0.722,0.37,2026-06-09
BANKNIFTY,513,1276860,17235660,-333630,2202583596799.5,513,1111868,16215300,1069560,1789602012705.0,0.941,0.871,2026-06-09
BDL,69,11373,4351975,-221025,5243768053.75,66,2745,2749250,-102050,1106122952.5,0.632,0.241,2026-06-09
BEL,72,20528,47066325,1010325,12671543602.5,70,8351,29853750,387600,4880398567.5,0.634,0.407,2026-06-09
BHARATFORG,69,6929,2210500,261500,7051657400.0,68,2837,1457000,-25000,2546629900.0,0.659,0.409,2026-06-09
BHARTIARTL,74,58060,17966875,3003900,52012069483.75,74,22343,8715775,418000,19090357421.25,0.485,0.385,2026-06-09
BHEL,139,9873,34741875,-2249625,10871556281.25,135,4219,23625000,123375,4308525243.75,0.68,0.427,2026-06-09
BIOCON,73,4105,15262500,-227500,4502728375.0,71,1444,9570000,347500,1494264625.0,0.627,0.352,2026-06-09
BLUESTARCO,82,4254,1425450,11050,2698127152.5,78,418,948675,325,209692323.75,0.666,0.098,2026-06-09
BOSCHLTD,114,16217,169325,-21200,16211991508.75,122,7465,164300,8800,6708900533.75,0.97,0.46,2026-06-09
BPCL,57,11294,18104825,2186325,6837586077.5,56,5953,11403650,-205400,3339888431.25,0.63,0.527,2026-06-09
BRITANNIA,101,10067,1427375,39750,7773872687.5,97,1481,907125,3750,928954456.25,0.636,0.147,2026-06-09
BSE,73,38344,10218275,-399550,61163292783.75,74,21909,6271775,-35725,31666080752.5,0.614,0.571,2026-06-09
CAMS,60,2874,2288325,64050,1748208592.5,61,1039,1451550,144450,569046468.75,0.634,0.362,2026-06-09
CANBK,107,18919,103457250,-8741250,18262544377.5,107,9388,72164250,2970000,8489038950.0,0.698,0.496,2026-06-09
CDSL,48,8499,7042825,-273125,5301668966.25,49,2801,4511075,-84075,1581757552.5,0.641,0.33,2026-06-09
CGPOWER,70,7172,7187600,148750,5906696580.0,69,2828,4057050,-141950,2151279280.0,0.564,0.394,2026-06-09
CHOLAFIN,77,4413,3267500,-96875,4344826625.0,73,2880,2438750,-10625,2504469312.5,0.746,0.653,2026-06-09
CIPLA,100,7166,4842575,136225,3903897442.5,102,3188,3237700,22650,1659598060.0,0.669,0.445,2026-06-09
COALINDIA,74,24472,45203400,-163350,16158568567.5,81,15074,43902000,-842400,9250071615.0,0.971,0.616,2026-06-09
COCHINSHIP,71,2537,1434800,-83200,1582163000.0,65,773,798800,10000,434116200.0,0.557,0.305,2026-06-09
COFORGE,74,13123,7388850,31900,7460821820.0,79,4928,4290850,-91750,2628711812.5,0.581,0.376,2026-06-09
COLPAL,80,4084,1862775,-58775,2049827557.5,80,3657,1199025,-35300,1485172127.5,0.644,0.895,2026-06-09
CONCOR,85,4914,13675000,-283750,2913158250.0,82,1742,7233750,-21250,986952437.5,0.529,0.354,2026-06-09
CROMPTON,107,4647,11999050,1248450,2389377572.5,101,1043,4255200,67950,516555122.5,0.355,0.224,2026-06-09
CUMMINSIND,89,6850,1701400,46400,8304021370.0,91,2377,1117000,45800,2601432970.0,0.657,0.347,2026-06-09
